suite,delay_ms,jitter_ms,rate_mbps,loss_pct,loss_correlation_pct,queue_depth_packets,common_link_category,algorithm,n_trials,n_valid_throughput,mean_throughput_mbps,median_throughput_mbps,std_throughput_mbps,sem_throughput_mbps,ci95_throughput_mbps,mean_utilization,median_utilization,std_utilization,sem_utilization,ci95_utilization,mean_retransmits,mean_retransmits_per_second,std_retransmits_per_second,sem_retransmits_per_second,ci95_retransmits_per_second,mean_rtt_ms,p95_rtt_ms,mean_cwnd_bytes,mean_snd_wnd_bytes,mean_convergence_time_s,ci95_convergence_time_s
loss,50.0,0.0,50.0,0.5,0.0,417,,bbrv3,5,5,46.48908281219191,46.47525489450523,0.032061509854847646,0.01433834309934375,0.03980962251481959,0.9297816562438381,0.9295050978901045,0.0006412301970969547,0.00028676686198687574,0.0007961924502963939,3647.4,20.263281887304156,0.24647680793114335,0.11022777948223916,0.30604137880028526,,,,,1.4001291999999999,1.1105522228560447
loss,50.0,0.0,50.0,0.5,0.0,417,,cubic,5,5,3.580305390955676,3.576823492124688,0.1140401248602105,0.05100029426999888,0.14159951738958573,0.07160610781911352,0.07153646984249376,0.002280802497204211,0.001020005885399978,0.002831990347791716,272.4,1.5133338679681902,0.04437689439504435,0.019845950499529714,0.055101192122417084,,,,,4.8012006,7.15427706606487
loss,50.0,0.0,50.0,0.5,0.0,417,,reno,5,5,3.706133432594398,3.728269497280931,0.10300296788194263,0.04606432761365025,0.12789507692714705,0.07412266865188796,0.07456538994561862,0.0020600593576388503,0.0009212865522730039,0.0025579015385429377,291.6,1.6200000822202398,0.05687574238576826,0.025435605249068776,0.07062056169152044,,,,,6.601350399999999,3.2380085186370473
loss,50.0,0.0,50.0,0.5,0.0,417,,vegas,5,5,3.699134211741854,3.798156635719633,0.15202221749527042,0.06798640248193649,0.18876051439098004,0.07398268423483709,0.07596313271439266,0.003040444349905408,0.0013597280496387295,0.0037752102878196,293.4,1.6299960627799657,0.07022927645360465,0.03140748723217707,0.08720116419234038,,,,,6.6012108,9.480675023022895
loss,50.0,0.0,50.0,1.0,0.0,417,,bbrv3,5,5,46.17006838139934,46.184163160451206,0.03104997879231808,0.01388597265591001,0.03855364081141183,0.9234013676279866,0.9236832632090242,0.0006209995758463433,0.000277719453118192,0.0007710728162282137,7285.4,40.474533917724784,0.17177646484404407,0.07682077046517707,0.2132886521355645,,,,,1.0006616000000002,0.0006338141957750508
loss,50.0,0.0,50.0,1.0,0.0,417,,cubic,5,5,2.28938799218805,2.3243462042299736,0.06315105986609607,0.028242012542349912,0.07841239748414225,0.045787759843761,0.04648692408459947,0.0012630211973219203,0.0005648402508469978,0.001568247949682844,364.4,2.0244418084113533,0.07979709571572255,0.035686346085482566,0.0990811809114327,,,,,14.8017056,30.871910951050612
loss,50.0,0.0,50.0,1.0,0.0,417,,reno,5,5,2.4967788484824753,2.4758125320987157,0.09012467798246927,0.040304981283815974,0.11190456800053976,0.04993557696964951,0.04951625064197431,0.001802493559649386,0.0008060996256763198,0.0022380913600107957,393.8,2.187779885142292,0.05629137346594252,0.02517426752333508,0.0698949718421036,,,,,20.401505800000002,15.272586301309499
loss,50.0,0.0,50.0,1.0,0.0,417,,vegas,5,5,2.425710700640303,2.41755298897731,0.08004130211003695,0.03579555850512799,0.09938440319938405,0.04851421401280607,0.0483510597795462,0.0016008260422007397,0.0007159111701025601,0.001987688063987682,387.4,2.1522266583246745,0.04772795155635712,0.021344588821366278,0.059262079155542054,,,,,7.601613,6.366985803362216
loss,50.0,0.0,50.0,3.0,0.0,417,,bbrv3,5,5,45.2962450426502,45.29870692528032,0.016815533187120656,0.0075201350568610955,0.020879242169048358,0.905924900853004,0.9059741385056064,0.0003363106637423959,0.0001504027011372142,0.0004175848433809458,21822.2,121.23469150130086,0.9390663448687482,0.4199632365017563,1.166004872348327,,,,,2.4008408,2.4200948194952754
loss,50.0,0.0,50.0,3.0,0.0,417,,cubic,5,5,1.112656905273386,1.106824091646559,0.02823901856935671,0.012628873027792092,0.03506337270217786,0.022253138105467717,0.022136481832931182,0.0005647803713871342,0.00025257746055584187,0.0007012674540435572,528.2,2.9344480847784777,0.06911322154953889,0.03090837230575446,0.08581539899794317,,,,,1.2019028,0.5550014889584074
loss,50.0,0.0,50.0,3.0,0.0,417,,reno,5,5,1.2547992516139608,1.2408206755756819,0.02811171223481256,0.012571939904190681,0.0349053010098311,0.025095985032279222,0.024816413511513636,0.0005622342446962518,0.0002514387980838139,0.0006981060201966228,608.0,3.3777869672698153,0.027766218413821833,0.0124174303702824,0.03447631377070506,,,,,46.8013618,56.67893971874442
